"""武汉奥利给！！！"""
"""棒棒棒"""
"""煎饼果子发来一根果子代表祝贺！！！！！！热干面醒了也要好好休息，我们以后一起玩耍！！！"""
"""醒了，可以下床了，还不能出门。再等13天就真的可以出去被人吃了"""
"""祝福武汉，祝福湖北，祝福中国！春天真的来了"""
"""新疆大盘鸡发来贺电"""
"""谢谢大家，我们好了，欢迎大家以后来武汉请你们吃热干面"""
"""拉上武汉的小手一起往前冲！！"""
"""臭豆腐，糖油粑粑，茶颜悦色发来贺电！！！！"""
"""兰州牛肉面向热干面发来贺电！！！"""
"""陕西羊肉泡馍凉皮发来贺电热干面 沉寂归来 未来可期"""
"""冲鸭！！！"""
"""热干面，我爱你，武汉[加油][加油][加油]"""
"""山东的宝宝发来贺电！"""
"""病房门上为热干面加油打call的画面还记忆犹新，热干面手里的樱花🌸和热气腾腾的蒸汽🍜湖北终于重启成功"""
"""早上好！抱抱"""
"""煎饼果子心心念念的热干面鸭"""
"""终于等到武汉“重启”！幸好春天还在！祝福武汉！祝福我们伟大的祖国！"""
"""江西瓦罐汤发来贺电！！"""
"""重庆火锅发来贺电！！"""
"""安徽牛肉汤发来贺电"""
"""我们的热干面醒了"""
"""早安！加油湖北！加油武汉！"""
"""湖北加油！热干面🍜 """
"""南昌拌粉发来贺电"""
"""四川火锅发来贺电！武汉加油！"""
"""好好奇什么味道，还没吃过"""
"""广西螺蛳粉发来贺电！！！"""
"""我葱哥最高了！！！热干面，走，带你去大明湖找夏雨荷玩"""
"""山西刀削面发来贺电，热干面要加醋嘛😄？"""
"""广西螺蛳粉发来贺电！！！"""
"""佛跳墙发来贺电"""
"""后面墙上居然还有原来的那幅画！收藏在热干面的心里❤️"""
"""肉夹馍发来贺电"""
"""广西螺蛳粉发来贺电"""
"""我觉得图里各个省份的形象很好很有特点啊，用作宣传标志不行吗这种形象又可爱审美又在线，什么火车地铁啊，道路宣传栏啊，用这种多好"""
"""我想吃热干面还想吃周黑鸭还想吃良品铺子！"""
"""四川人民带着大熊猫发来贺电"""
"""杭州小笼包发来贺电，武汉辛苦了"""
"""北上广反而沦陷"""
"""热干面，我们知道你一定行的"""
"""天津煎饼果子发来贺电"""
"""重庆小面发来贺电！"""
"""虾饺、肠粉、豉汁凤爪、豉汁排骨、金钱肚、糯米鸡、蛋挞、榴莲酥、叉烧酥、马拉糕、干蒸、叉烧包、奶黄包、莲蓉包、皮蛋瘦肉粥、生滚牛肉粥、及第粥、煎饺、咸水饺、马蹄糕、菱角糕、炸春卷、炸云吞、萝卜糕等等发来贺电！"""
"""东北大洗浴欢迎你们"""
"""广西螺蛳粉发来贺电！！！！"""
"""病房还挂着大家来看望他的照片，好暖"""
"""螺蛳粉：我们的任务结束了"""
"""之前还排挤湖北人，觉得他们乱吃野味，害全国人遭殃，直到国外疫情爆发，发现美国🇺🇸 才是罪魁祸首，武汉人民是受害者"""
"""东北烤冷面发来贺电"""
"""河北驴肉火烧发来贺电！"""
"""东北烤冷面发来贺电"""
"""山西人民发来贺电"""
"""虾饺发来贺电"""
"""河南烩面发来贺电"""
"""屋里的门上还贴着那张照片"""
"""广东虾饺发来贺电！！！"""
"""新疆烤全羊发来贺电"""
"""小鸡炖蘑菇的🐥也太可爱了吧（๑• . •๑)"""
"""河北驴肉火烧发来贺电"""
"""山西刀削面发来贺电"""
"""我看到了陕西的肉夹馍排队带我一个！"""
"""让我们相信，武汉的明天会更好。"""
"""四川担担面发来贺电👏👏👏"""
"""胡辣汤用力给你赞一下"""
"""山西刀削面发来贺电加油"""
"""东北猪肉炖粉条子加上酸菜馅饺子共同恭喜武汉热干面"""
"""淮南牛肉汤发来贺电"""
"""大葱瞩目"""
"""山西刀削面发来贺电！"""
"""陕西肉夹馍发来贺电!"""
"""热干面加油早安"""
"""加油啊棒棒哒！"""
"""武汉加油"""
"""也不知道为啥，就特想哭！"""
"""醒了就赶紧出院吧，大家都挺着急的"""
"""武汉加油❗棒棒哒❗"""
"""东北锅包肉发来贺电！！！！！！"""
"""东北锅包肉发来贺电！"""
"""加油❤️"""
"""瓦罐汤来接热干面出去玩啦"""
"""虾饺兄弟发来贺电"""
"""全国各地的美食等热干面归来"""
"""有时间一定要去看樱花吃热干面，看看这座英雄城市"""
"""这群小可爱太治愈了，快让我吃掉你们"""
"""一切都在向好的方向发展，加油"""
"""重庆西南医院排很长的队，根本没有防护措施！都不报道！完全是害人！"""
"""哟～宝宝你做了个好长的梦啊，终于醒来了真好！偶可以去看你么，还有美丽的樱花🌸"""
"""老板搞碗勒干面要葱把点辣椒再一杯豆浆"""
"""关闭暂停键，热干面重启"""
"""上海生煎给热干面加油"""
"""想到未来可以把画面上的小朋友都吃好几遍，心情就开心，炸酱面小朋友给热干面小朋友加油"""
"""真的被感动到，原来一天天最平凡的生活才是幸福"""
"""太不容易了，伟大的武汉人民！🙏🙏🙏"""
"""热干面又热气腾腾的了"""
"""我想吃四五六七八碗热干面！！！"""
"""加油 春暖花开"""
"""炸酱面前来贺电"""
"""河南烩面发来贺电"""
"""西湖醋鱼发来贺电！！！"""
"""热干面 火锅会一直陪着你哒"""
"""武汉加油！！！"""
"""加油加油加油！都要平平安安的"""
"""真好！都好起来了，真好"""
"""可可爱爱"""
"""好开心"""
"""油泼面表示很想吃热干面"""
"""我们湖北明天会更好"""
"""太好了，我们的热干面醒了，一早起来，看见这个消息，瞬间开朗"""
"""沙茶面卤面发来贺电"""
"""我想要吃掉他们"""
"""真好 春天终于来了 加油💪"""
"""武汉，早安"""
"""热干面准备好被吃了吗"""
"""门上还贴着照片，湖北这个小可爱真是把每位朋友都记在心里放在心上"""
"""热干面牛批，您的cp火腿肠发来贺电！！！"""
"""我大葱省依然亮眼"""
"""福建佛跳墙发来贺电"""
"""来晚了！蒙牛牛奶发来贺电！"""
"""内蒙古小肥羊发来贺电"""
"""热干面涅槃重生归来[加油][加油]"""
"""烩面毛尖给热干面说一句春天好～"""
"""热干面好样的呀，果然是我心心念念的美食"""
"""想念学校食堂2.5的热干面"""
"""麻花给热干面发来贺电！"""
"""看到这个图片好开心啊"""
"""中国必胜！"""
"""#热干面醒了##加油啊热干面# ！"""
"""煎饼果子发来贺电！！！！"""
"""左上角真的让人看的泪目"""
"""门上还有照片呐！"""
"""小桃姐姐武汉加油@陈小桃momo"""
"""刚回武汉就封了城，一顿武汉该有早餐都没吃到，盼了两个月，我想吃热干面，豆浆油条"""
"""蚌埠烧饼夹里脊发来贺电！"""
"""好看"""
"""煎饼果子发来贺电！！！"""
"""哇 樱花开了 热干面醒了 奥利给"""
"""河南人民携胡辣汤前来祝贺"""
"""河南烩面发来贺电"""
"""奥利给"""
"""兰州牛肉面发来贺电！！！"""
"""陕西肉夹馍发来贺电！！！"""
"""杭州小笼包发来贺电！"""
"""重庆火锅发来贺电！"""
"""陕西肉夹馍唯一一个能握拳竖大拇指，哈哈哈哈哈哈"""
"""我们的热干面醒了，小鸡炖蘑菇发来贺电"""
"""煎饼果子发来贺电"""
"""经济与民生并行吧。"""
"""加油加油"""
"""可可爱爱一起去吃热干面吧！"""
"""河南胡辣汤发来贺电"""
"""武汉加油"""
"""等你们的热干面好久了，加油！"""
"""河北...河..河北火烧发来贺电"""
"""河南胡辣汤向热干面道喜"""
"""辽宁丹东发来贺电"""
"""无锡酱排骨发来贺电"""
"""云南过桥米线发来贺电"""
"""湖南臭豆腐发来贺电！"""
"""陕西biangbiang面发来贺电！"""
"""锅爆肉给热干面发来贺电"""
"""湖北加油！！中国加油！！"""
"""生煎，虾饺，火锅，煎饼卷大葱"""
"""冷面发来贺电"""
"""感覺很不錯喔"""
"""热干面加油！"""
"""想吃热干面！还没吃过呢！"""
"""云南过桥米线发来贺电"""
"""螺蛳粉来啦"""
"""北京烤鸭发来贺电"""
"""山东大葱发来贺电～"""
"""贵州肠旺面来看你了"""
"""胡辣汤呢"""
"""云南过桥米线发来贺电！！"""
"""山西刀削面发来贺电！！！"""
"""煎饼果子为热干面欢喜！"""
"""江油肥肠 发来贺电"""
"""我是湖北的  现在晚上的公路是我长这么大都没有感受过的安静  但还好 有动静了   我们一直期待着 哪怕只有一点点声响💚💚💚"""
"""温州糯米饭发来贺电"""
"""苏式汤面🍜发来贺电❤️"""
"""北京烤鸭发来贺电"""
"""奥利给！！！可可爱爱的武汉"""
"""武汉会越来越好！"""
"""加油加油！"""
"""我要吃热干面！#热干面醒了#"""
"""好"""
"""真好！加油湖北，加油中国"""
"""牛羊肉发来贺电！！！"""
"""过桥米线发来贺电！"""
"""热干面加油↖(^ω^)↗鸭  热干面"""
"""真好，热干面醒了，感动的泪流满面"""
"""配图好萌啊~"""
"""肉夹馍向热干面道喜啦"""
"""小鸡炖蘑菇给热干面发来贺电！"""
"""关闭暂停键，热干面重启"""
"""葱省的鲅鱼饺子发来贺电"""
"""加油！"""
"""热干面等我哦 我会去武汉看你 加油💪"""
"""早上好！"""
"""热干面你好！！欢迎回来♥♥♥"""
"""热干面！！！吃了它！！！"""
"""热干面重启！！！加油呀"""
"""我要吃三碗"""
"""真好！加油"""
"""泉州面线糊发来贺电！"""
"""湖南臭豆腐给湖北热干面发来祝贺！！！"""
"""广西螺蛳粉发来贺电！！"""
"""山东煎饼卷大葱前来贺电"""
"""云南过桥米线祝贺热干面"""
"""热干面"""
"""湖南臭豆腐发来贺电！！！！"""
"""真好"""
"""赤峰对夹发来贺电"""
"""@哦张婷啊 看手绘作者的微博"""
"""新疆大盘鸡发来贺电"""
"""过桥米线给热干面加油💪"""
"""广东头上应该顶个福建小孩   煲仔饭"""
"""广西螺蛳粉发来贺电"""
"""广西螺蛳粉发来贺电✌"""
"""海南清补凉发来贺电"""
"""哎呦，可爱s了♥️"""
"""湖南臭豆腐发来贺电"""
"""太好了，太好了，加油啊"""
"""安徽人民带着徽菜（臭鳜鱼 徽州一品锅 无为板鸭 符离集烧鸡 皖西大白鹅 蒿子粑粑……）送来祝福！欢迎湖北人民到安徽游玩。金寨与湖北省毗邻，从3.25开始60天内对全国人民免费开放（五一黄金周除外），门票免费，酒店半价 。特别推荐5A风景区天堂寨！[带着微博去旅行]"""
"""可爱的总会动人"""
"""热干面武汉加油"""
"""永远相信美好 心存希望 终有一天 会等到黎明"""
"""刀削面发来贺电"""
"""广西老友粉发来贺电"""
"""长安发来贺电"""
"""加油💪我要吃三大碗🍜🍜🍜"""
"""呜呜呜加油"""
"""广东肠粉发来贺电！！！❤️"""
"""广东虾饺发来贺电"""
"""山西刀削面发来贺电！"""
"""武汉封城那天真的是一生的痛 一开始被瞧不起 被歧视 还要被封城 真的哭了 在北京的武汉人天天担惊受怕 我的亲人朋友都在家乡 终于可以团聚了"""
"""加油加油"""
"""四川串串发来贺电"""
"""谢谢你们的坚持，可能外地人没办法真正和湖北人感同身受，但是你们每个人都是好样的，一定要加油。春暖花开时，我一定用我为数不多的收入去武汉贡献GDP."""
"""青海牦牛肉发来贺电！！！"""
"""兰州牛肉面发来贺电"""
"""内蒙古手把肉发来贺电！热干面加油！(ง •̀_•́)ง"""
"""脑子冒烟了？！🙊🙊"""
"""希望不要戴有色眼镜看待我们湖北人，我们真心的感谢各地人民和抗击疫情的英雄们，有好多要出湖北省工作的人和读书的孩子，很怕在细节中感受到委屈和心酸，我们湖北人爱我们的家更爱大家"""
"""经中央批准，湖北开始重启[加油]"""
"""加油💪"""
"""加油加油"""
"""螺蛳粉给热干面发来贺电"""
"""武汉终于恢复正常的生活了！我们期盼的一切都好了！感谢全国人民的帮助！感谢英雄们的帮助！"""
"""好棒！！！"""
"""❤"""
"""重启什么重启？？？？？？？湖北奥利给"""
"""柳州螺蛳粉发来贺电！！！！！"""
"""重庆小面发来贺电"""
"""云南小锅米线、卤米线、焖肉米线、杂酱米线、鳝鱼米线、凉米线、炒米线、土鸡米线、过桥米线、包烧米线发来贺电！！！有机会一定去武汉看樱花，吃热干面！"""
"""广西螺蛳粉为什么没有名字！"""
"""天津煎饼果子发来贺电"""
"""热干面我们就快见面啦"""
""""""
"""热干面醒啦真好"""
"""佛跳墙发来贺电！！！"""
"""重庆火锅发来贺电"""
"""根据图片细节，我可能是那只大闸蟹"""
"""给来一碗热干面，寄快递"""
""""""
"""恭喜热干面！！！记得备多一点哦，姐姐可要敞开肚皮来了哦！"""
""""""
"""[加油][加油][加油]"""
""""""
"""快到锅里来"""
"""炸酱面喜迎热干面"""
"""想吃想吃想吃热干面！！！"""
"""四川火锅发来贺电，也为不幸牺牲的所有人悼念"""
"""//@邓伦:可爱的总会动人"""
"""冲鸭"""
"""哈哈好可爱"""
"""转发微博"""
"""转发微博"""
"""谢谢所有帮助过武汉的人"""
"""等待这一刻好久了"""
"""想吃"""
"""欢迎回归热干面，野生菌发来贺电！"""
"""真的是挺诙谐的说法"""
"""我也要吃三大碗热干面"""
"""真好"""
"""过桥米线发来贺电！！"""
"""加油"""
"""吃五碗@听风没有猫"""
"""真好！湖北加油！"""
"""好可爱的配图可爱的热干面给你打call！"""
"""海南粉发来贺电！！！！"""
""""""
"""锅包肉前来祝贺"""
"""山西刀削面发来贺电"""
"""期待期待"""
"""走，去吃碗热干面庆祝一下"""
""""""
"""武汉加油！"""
"""可可爱爱，没有脑袋"""
"""棒棒棒，"""
"""加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油！"""
"""你也很可爱，希望你继续可爱//@邓伦:可爱的总会动人"""
"""加油啊热干面"""
"""大北京的驴打滚由于身高不足被这张图淘汰了"""
"""你好，湖北"""
"""热干面，等我回老家吃"""
"""春天来了，这是我见过的最美好的风景"""
"""以后再也不要睡了"""
"""加油＾０＾~ 疫情结束，我们再开始新的生活"""
"""安排"""
"""螺蛳粉猪脚粉牛腩粉云吞面桂林米粉热烈欢迎热干面回到被嗦粉大队"""
"""眼泪哗哗的"""
"""如约而至"""
"""一碗热干面，不仅是一碗普普通通的面而已，它更是温暖人心的爱！"""
"""这个病毒至今有个未解之谜，几乎没有儿童被感染病发，至少在目前全世界的感染报道中好像都没有涉及到儿童，这是不是可以成为研发疫苗的一个突破方向。"""
"""好可爱"""
"""害怕"""
"""春暖花开了"""
"""这是我2020年开篇听过的最好的一条消息了"""
"""加油加油！"""
"""还拟人呢"""
""""""
""""""
"""skr"""
"""既然醒过来了什么时候查一下湖北的红会啊"""
"""可爱又有爱，后面还有一副照片"""
"""//@邓伦:可爱的总会动人"""
"""茶颜悦色前来道喜"""
"""造作起来哈哈(ಡωಡ)hiahiahia"""
"""好暖啊，门上的窗，太有画面感！"""
"""热干面"""
""""""
"""解封了！开心😁"""
""""""
"""胜利的曙光就在眼前了"""
"""福建沙县拌面，福州线面发来贺电"""
"""臊子面，肉夹馍，擀面皮夹馍给热干面贺喜"""
"""…"""
"""武汉加油"""
"""终于恢复了"""
""""""
"""云南过桥米线发来贺电！"""
""""""
"""那个小鸡炖蘑菇蘑菇里的小鸡还站起来了！！！！"""
""""""
"""回復@新鲜空气199310 的贊:感謝支持 """
"""回復@与楓· 的贊:握手 """
"""真好，加油，记住，你是最棒的！"""
"""云南米线火速赶来"""
"""兰州牛肉面发来贺电！"""
"""哎呀呀，可爱死了，热干面好起来啦！"""
"""你最🉑️//@邓伦:可爱的总会动人"""
"""可可爱爱"""
"""[加油][加油]"""
"""四川甜水面发来贺电"""
"""加油"""
"""后面墙上挂的还是刚生病时的样子"""
"""加油！我们永远在你身后！！爱你呦"""
"""转发微博"""
"""哈哈，以后再也不要睡了"""
"""让人泪目的画面啊"""
"""武汉🐂🍺！祖国🐂🍺！"""
"""加油 湖北"""
"""好好待在屋里"""
"""兄弟们，造他就完了！奥力给！"""
"""胡辣汤发来祝贺"""
"""武汉加油"""
"""细节好评"""
"""我要吃啊啊啊啊"""
"""烤全羊给热干面贺喜"""
"""加油！！！"""
"""脑浆是热干面？这图，一点胃口都没有了"""
""""""
""""""
"""👍"""
""""""
"""这图有毒，而且记吃不记打"""
""""""
"""好可爱的热干面 我要吃吃吃吃吃吃"""
"""我要吃！！！"""
"""醒来"""
"""恭喜"""
"""加油"""
"""哈哈，有创意"""
"""，"""
"""太好了！！！"""
"""#热干面醒了#"""
""""""
"""你最动人//@邓伦:可爱的总会动人"""
"""武汉给力"""
"""再接再厉。要用更好成绩更好产品更高科技来报效祖国。"""
"""手里有一朵小花🌸"""
"""都挺好 ❤️"""
"""热干面醒啦！武大樱花开啦！真好"""
"""奥利给"""
"""火锅发来贺电"""
"""加油"""
"""大半夜的 我想吃热干面了"""
"""沈阳老四季鸡架发来贺电"""
""""""
"""信阳热干面为武汉热干面鼓掌👏🏻 👏🏻 👏🏻"""
"""，"""
"""奥利给！！"""
""""""
"""鸭血粉丝汤发来贺电"""
"""虽然不爱吃热干面 但是你能醒我还是很高兴的"""
"""奥利给"""
""""""
"""沙茶面发来贺电！"""
"""//@邓伦:可爱的总会动人"""
"""加油＾０＾~"""
"""湖北加油"""
"""//@邓伦:可爱的总会动人"""
"""加油武汉"""
"""和樱花一起醒来的热干面宝宝！"""
"""希望湖北人民在外不要再受到岐视了"""
"""广州云吞面发来贺电"""
"""不要嘴里喊加油，现实却让人伤心，湖北人付出很多了"""
"""@小飞侠和胖娃娃"""
"""哇美味"""
"""哇"""
"""加油❤❤❤❤❤"""
""""""
""""""
"""咱们汉马见"""
""""""
"""太好了"""
"""热干面太可爱了"""
"""哈哈哈哈！逮住你了伦@邓伦 想你啦@邓伦 //@邓伦:可爱的总会动人"""
"""江苏……图上有江苏吗"""
"""广东冰箱里的福建人发来贺电"""
"""炸酱面为兄弟热干面道喜！"""
"""画中画，厉害厉害"""
"""我的妈好可爱好感动"""
"""可爱可爱//@真的从未试过拥有:热干面宝宝你醒啦？我是广东虾饺，我们一直都在等你呢，邻居家意大利面和西班牙火腿还没没醒，德国香肠抢了他们的玩具，是个坏宝宝。但最坏的是美国汉堡，他自己到处吐口水，做了坏事还不承认，小朋友都不跟他玩了"""
"""小鸡炖蘑菇发来贺电！！！！！"""
"""//@岳阳市中级人民法院: 【#热干面醒了#！】#被按下暂停键的湖北开始重启#！我们的热干面醒了"""
"""开心幸福快乐 //@邓伦:可爱的总会动人"""
"""喜欢的事就努力追求！"""
"""与爱同行，与责任并肩，我们与爱一起加油❤️ //@邓伦:可爱的总会动人"""
"""武汉也在逐步恢复中~~[加油]"""
"""迟来的佛跳墙发来贺电"""
"""山西削面发来贺电"""
"""浆面条欢迎热干面回到中华美食大家庭"""
"""炸酱面也发来贺电～"""
"""#常德联通发布# @常德联通//@湖南联通: 等了热干面好久啦！"""
"""广西梧州蒙山扣肉（饭），豆腐酿，肉圆汤，白切鸡、、、给热干面贺喜啦！奥利 评论配图"""
"""瓦罐汤发来贺电"""
"""转发微博"""
""""""
"""长沙臭豆腐发来贺电！！热干面加油！春暖花开，我们都奔你而来！"""
"""陕西人民携羊肉泡馍，葫芦头，擀面皮，肉夹馍，冰峰，油泼面，洋芋擦擦，热米皮发来贺电。"""
"""没有一个春天不会来临"""
"""噢力给"""
"""我喜欢吃热干面"""
"""热烈庆祝！"""
"""大葱？？？"""
"""加油 武汉"""
"""看到醒了两个字鼻子马上就酸了"""
"""棒棒哒"""
"""热干面，快到嘴里来"""
""""""
""""""
"""邓伦优秀又来了"""
""""""
"""白切鸡热烈庆祝热干面正常营业！"""
"""重庆火锅发来贺电"""
"""吃个三大碗"""
"""转发微博"""
"""武汉加油"""
""""""
"""真好呀"""
"""好可爱！！！！！！"""
"""棒！"""
"""重启"""
"""加油加油加油"""
"""//@邓伦:可爱的总会动人"""
"""加油，武汉"""
"""哈尔滨红肠送来祝贺"""
"""快点好起来一起玩耍！"""
"""可爱//@邓伦:可爱的总会动人"""
"""真好"""
"""#热干面醒了# """
"""武汉加油！"""
"""辣椒炒肉前来捧场～"""
"""好暖啊"""
"""无与伦比，一起加油 //@邓伦:可爱的总会动人"""
"""加油努力"""
"""新的一天快乐幸福 //@邓伦:可爱的总会动人"""
"""加油，成为更好的自己"""
"""学会快乐，微笑面对 //@邓伦:可爱的总会动人"""
"""与爱同行，与责任并肩，我们与爱一起加油❤️"""
"""不容易啊"""
"""用最初的心陪你走最远的路! //@邓伦:可爱的总会动人"""
"""幸福快乐"""
"""南京 今天有四片面包"""
"""左下角是东北省小鸡炖蘑菇吗？"""
"""我也想吃！"""
"""我要加香菜"""
"""慢慢恢复吧！"""
"""平安健康，一起加油 //@邓伦:可爱的总会动人"""
"""平安健康！越来越好！"""
"""开心幸福快乐 //@邓伦:可爱的总会动人"""
"""平安顺遂，一切美好如期而至"""
"""开开心心快快乐乐 //@邓伦:可爱的总会动人"""
"""平安健康！越来越好！"""
""""""
"""健康快乐每一天 //@邓伦:可爱的总会动人"""
"""无与伦比，一起加油"""
"""平安健康！越来越好！ //@邓伦:可爱的总会动人"""
"""开心快乐"""
"""愿一切美好都如期而至！ //@邓伦:可爱的总会动人"""
"""无与伦比，一起加油"""
"""用最初的心陪你走最远的路! //@邓伦:可爱的总会动人"""
"""加油热干面"""
"""肠粉味热干面发来祝贺"""
"""潍坊火烧发来贺电！"""
"""湖南臭豆腐发来贺电（应该是臭豆腐吧😄😁）"""
"""#热干面醒了#  热干面[加油]"""
"""激动祝贺！"""
"""门那里有原来画的那张图片，好暖"""
"""[中國贊]"""
"""#热干面醒了#  奥利给！！！"""
"""[加油]加油 热干面"""
"""你也太太太太可爱了吧♡//@邓伦:可爱的总会动人"""
"""肉夹馍油泼面擀面皮发来贺电"""
"""小鸡炖蘑菇恭喜热干面！"""
"""加油！热干面好吃！"""
"""河北发来贺电 湖北会越来越好 只会更好"""
"""🙃"""
""""""
"""加油！！！"""
"""妈耶!热干面!!想了，确实想!等返校!!"""
"""春暖花开，樱花纷飞，太感动了，祝贺我们的#热干面醒了# """
""""""
"""啊啊啊来咯//@邓伦:可爱的总会动人"""
"""想她了"""
"""//@邓伦:可爱的总会动人"""
"""庆祝一下，小烧烤整起来.不要辜负这大好春光"""
""""""
"""加油奥利给"""
"""加油！"""
"""一定会有很多人来参加"""
"""湖北加油！一起加油！"""
""""""
"""湖北"""
"""，"""
"""等我～"""
""""""
"""热干面醒了"""
"""最前面的那根葱，我一看就知道你是谁"""
"""给我一碗少辣！"""
"""棒棒哒"""
"""怀着激动的心情，期待一份热干面配一碗鸡蛋米酒"""
"""过年啦！"""
"""回复@D_绿袖子 的表态:谢谢，我们都只有一个初衷，希望邓伦哥哥一切都好"""
"""回复@梅01182 的表态:谢谢，我们都一样，那就是希望邓伦哥哥好"""
"""回复@梦燃zz 的表态:谢谢，我们都一样，不管邓伦哥哥做什么决定，只有一个初衷那就是希望他好"""
"""回复@光影圆圆 的表态:谢谢，我们都一样不管邓伦哥哥做什么决定，都只希望邓伦哥哥好"""
"""我们的小可爱醒了"""
"""武汉热干面，鸭脖，卤藕，武昌鱼都会好起来的"""
"""加油"""
"""好感人"""
"""臊子面祝福热干面"""
"""终于等到"""
"""可爱动人//@邓伦:可爱的总会动人"""
"""感恩"""
"""热干面醒了！"""
"""看饿了"""
"""武汉加油"""
"""想吃，回湖北2个月就吃上2袋方便面装的"""
"""加油"""
"""[加油]//@蒋欣: 好溫暖！"""
"""呵呵"""
"""河北宫面发来贺电！"""
"""没想到还能追到这组漫画的连载原创了不起哈人民日报也了不起"""
"""万眾歡騰"""
"""含泪吃下三大碗"""
"""哇哇，厉害厉害"""
"""加油"""
"""哈哈"""
"""太好了，三月下旬还赶得上晚樱"""
""""""
"""加油"""
"""jia you"""
"""回复@邓伦:可爱的总会动人，你也很可爱哟！伦哥！"""
"""可爱的总会动人，你也很可爱哟！伦哥！"""
"""新疆大盘鸡发来贺电！！！"""
"""等待全面的解封"""
"""武汉加油"""
"""兰州牛肉面发来贺电"""
""""""
""""""
"""春暖花开"""
"""啊啊啊湖北人太开心啦"""
"""哇哇哇哇我抓到你啦！//@邓伦:可爱的总会动人"""
"""北京涮羊肉给热干面发来贺电！等接你出院那一天一定要紧紧紧紧抱住你呀呀"""
""""""
"""有一天，我要吃到正宗的武汉热干面"""
"""转发微博"""
"""来呀！冲鸭!"""
"""想吃"""
"""︿●简直就是你→_→"""
""""""
"""武汉奥利给！！！！！"""
"""会越来越好的，春暖花开了🌸，都是希望"""
"""欢迎回来热干面#被按下暂停键的湖北开始重启#"""
"""湖北宝宝真棒 哭了😭"""
"""背后的画暖心"""
"""开心热干面醒了"""
"""煎饼果子站第一排"""
"""今天刚吃完热干面"""
"""哇，感动，连上了连上了！热干面加油💪"""
"""云南过桥米线发来贺电！"""
"""广丰炒粉给热干面贺喜！"""
""""""
"""转发"""
"""欢迎重启热干面#被按下暂停键的湖北开始重启#"""
"""山东卷大葱报道。"""
"""武汉加油"""
"""来啦！！！"""
"""可爱的总会动人//@邓伦:可爱的总会动人"""
"""这套图真的超温暖呀"""
"""湖北重启，👍加油呀"""
"""热干面，加点“辣”， 奥利给！～"""
"""恭喜热干面小盆友赢的新生重启快乐～等着我们去找你玩鸭～#被按下暂停键的湖北开始重启#"""
"""奥利给//@邓伦:可爱的总会动人"""
""""""
"""可爱动人哦//@邓伦:可爱的总会动人"""
"""东北铁锅炖发来贺电"""
"""鸭脖呢"""
"""我要吃三碗"""
"""好可耐"""
"""粗来玩呀！"""
""""""
"""真好"""
"""热干面醒啦❤️"""
"""好可爱呀～Y(^_^)Y"""
"""不是，偏个题，人家都是好吃的，俺们葱葱又来了"""
"""安徽阜阳格拉条发来贺电！！！"""
"""棒棒"""
"""太可爱了"""
"""了解"""
"""可爱的#热干面醒了# //@邓伦:可爱的总会动人"""
